Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
1292,0.0,1159.7156817,-449.4936523
1296,0.0,1163.9385593,1880.5397949
1300,0.0,1168.1663812,1425.439209
1304,0.0,1172.3993976,4506.1210938
1308,0.0,1176.6374925,12891.5820313
1312,0.0,1180.880672,18481.7851563
1316,0.0,1185.1289423,13946.2539063
1320,0.0,1189.3823094,2722.203125
1324,0.0,1193.6406724,-7153.796875
1328,1e-07,1197.9042486,-12873.0429688
1332,1e-07,1202.1729441,-14405.828125
1336,1e-07,1206.4467651,-9504.4960938
1340,0.0,1210.7256897,1973.7485352
1344,0.0,1215.0097665,11746.0664063
1348,-1e-07,1219.2989832,8923.6015625
1352,0.0,1223.5933458,-4769.8398438
1356,0.0,1227.8928605,-13876.984375
1360,0.0,1232.1975336,-8700.8125
1364,-5e-07,1236.5073713,3109.8757324
1368,-4.8e-06,1240.8223802,8613.0664063
1372,-3.57e-05,1245.1425887,4492.1601563
1376,-0.0002047,1249.4679817,-3596.0917969
1380,-0.0009074,1253.7985005,-10286.6015625
1384,-0.003076,1258.1343351,-12975.8085938
1388,-0.0078447,1262.4752475,-8824.5390625
1392,-0.0145679,1266.8214881,1770.2683105
1396,-0.0181856,1271.172819,11362.4257813
1400,-0.0110138,1275.5294907,11464.671875
1404,0.0084947,1279.8906579,1939.6381836
1408,0.0297924,1284.3663293,-6601.8710938
1412,0.0385756,1289.1570387,-3372.3713379
1416,0.0305639,1294.0258896,8822.0859375
1420,0.0123672,1299.0271247,16452.8554688
1424,-0.0083062,1304.1281186,12039.2539063
1428,-0.0269352,1309.1674631,1236.2705078
1432,-0.0378127,1314.2440201,-6546.3125
1436,-0.0321401,1319.2667377,-8037.21875
1440,-0.0068151,1324.157166,-6598.2617188
1444,0.0248187,1329.0886677,-5767.9335938
1448,0.0390062,1334.2084446,-4405.7382813
1452,0.024793,1339.5529917,-1028.8305664
1456,-0.0020778,1345.0175563,1992.081543
1460,-0.0152005,1350.2587345,3167.015625
1464,-0.0061252,1355.4752004,3839.96875
1468,0.0098267,1360.7922022,3651.6552734
1472,0.0139811,1366.1288619,1687.0964355
1476,0.0016072,1371.4702616,-374.7565918
1480,-0.0189884,1376.7326996,-1378.2028809
1484,-0.0344534,1381.9021477,-1914.3701172
1488,-0.0331834,1386.8055211,-1492.6958008
1492,-0.0131804,1391.6341497,1021.3598633
1496,0.0124575,1396.3897671,4045.9042969
1500,0.0231375,1401.2444091,3311.4807129
1504,0.0111321,1406.2895953,-2278.8666992
1508,-0.0071523,1411.271118,-7409.609375
1512,-0.00806,1416.0840896,-6999.1640625
1516,0.0111711,1420.9226402,-2923.0834961
1520,0.0286936,1425.9036772,455.5935059
1524,0.0238855,1431.1481093,2731.8981934
1528,0.0003735,1436.4725304,4714.5585938
1532,-0.0207181,1441.6195075,4999.109375
1536,-0.0250764,1446.7895265,2088.7614746
1540,-0.0155716,1451.9084206,-3779.6982422
1544,-0.0025501,1457.0260943,-8379.0585938
1548,0.0068052,1462.2177381,-5394.5859375
1552,0.0106068,1467.4557569,3201.3581543
1556,0.0109846,1472.7337015,7239.8984375
1560,0.0110315,1477.9960376,2643.4692383
1564,0.0099226,1483.2965298,-3390.0336914
1568,0.0029479,1488.7111642,-2347.8967285
1572,-0.010117,1494.1443172,5007.1835938
1576,-0.0192721,1499.6010201,10023.0742188
1580,-0.0135338,1504.9604633,7511.8164063
1584,0.004293,1510.1588062,427.2568359
1588,0.0192293,1515.6097566,-6236.6640625
